abbreviation	value
ASR	automatic speech recognition
CNN	convolutional neural network
DL	deep learning
IE	information extraction
IR	information retrieval
NEL	named entity linking
NER	named entity recognition
NLI	natural language inference
NLP	natural language processing
NLU	natural language understanding
ML	machine learning
MT	machine translation
NMT	neural machine translation
POS	part of speech
QA	question answering
RNN	reсurrent neural network
SMT	statistical machine translation
TTS	text to speech
АОТ	автоматическая обработка языка
МО	машинное обучение
